ablation,removed_group,n_features,train_games,test_games,accuracy,brier_score,log_loss,roc_auc,accuracy_delta,brier_improvement,log_loss_improvement,roc_auc_delta
No Elo group,No Elo group,58,100,26,0.7307692307692307,0.21945199832071788,0.8117606350149471,0.7124183006535948,0.038461538461538436,0.034317905715325225,0.09698121355104405,0.0
No experience,No experience,65,100,26,0.7307692307692307,0.20827245979975187,0.7270673913303767,0.7712418300653595,0.038461538461538436,0.045497444236291235,0.18167445723561448,0.05882352941176472
Baseline (all features),None,71,100,26,0.6923076923076923,0.2537699040360431,0.9087418485659912,0.7124183006535948,0.0,0.0,0.0,0.0
No recent form,No recent form,65,100,26,0.6538461538461539,0.2355751308837647,0.7993900940457207,0.7189542483660131,-0.038461538461538436,0.01819477315227841,0.10935175452027046,0.006535947712418277
No chemistry,No chemistry,62,100,26,0.6538461538461539,0.24903460834075491,0.9279009399233418,0.7058823529411764,-0.038461538461538436,0.004735295695288189,-0.01915909135735061,-0.0065359477124183885
No corner features,No corner features,64,100,26,0.6538461538461539,0.2415039964223619,0.8311154973929354,0.6470588235294118,-0.038461538461538436,0.01226590761368121,0.07762635117305572,-0.065359477124183
