feature,correct_mean,incorrect_mean,raw_gap,feature_std,standardized_gap,abs_standardized_gap,n_correct,n_incorrect
team2_elo_volatility_pre,2.2292672519678476,2.640069813721335,-0.4108025617534876,0.4714207038485785,-0.8714139162743231,0.8714139162743231,18,8
p4_corner_win_rate_pre,0.4517861230761345,0.600230774127833,-0.14844465105169846,0.17930165320612448,-0.8279045307019398,0.8279045307019398,18,8
team1_elo_volatility_pre,2.7718282573663378,2.309131929670089,0.4626963276962486,0.559159900476404,0.8274848166008176,0.8274848166008176,18,8
team1_pair_point_diff_pre,33.166666666666664,6.125,27.041666666666664,33.89995723583905,0.7976902884726417,0.7976902884726417,18,8
team1_min_elo_pre,1495.2192908367758,1466.8710570157089,28.34823382106697,37.0111010600737,0.7659386781023942,0.7659386781023942,18,8
team1_peak_gap_pre,14.410803653357979,21.700407806836296,-7.289604153478317,9.52947390856018,-0.7649534720830893,0.7649534720830893,18,8
team1_pair_win_rate_pre,0.6690737503237503,0.5264242701742702,0.1426494801494801,0.1870920743163553,0.7624560295818469,0.7624560295818469,18,8
team1_corner_strength_pre,0.5614786139113466,0.4615663611142927,0.09991225279705385,0.13142504145414127,0.7602223418884496,0.7602223418884496,18,8
team1_ts_mu_pre,29.530934752483162,27.971134790153172,1.5597999623299899,2.084321475328801,0.7483490338667321,0.7483490338667321,18,8
team1_win_rate_pre,0.5594131965791124,0.5078248070510142,0.05158838952809819,0.0691312838262439,0.7462379789989376,0.7462379789989376,18,8
team1_opponent_win_rate_pre,0.5628053191845503,0.4845318885019806,0.07827343068256976,0.10618043258252337,0.7371737784335706,0.7371737784335706,18,8
team1_elo_pre,1533.222025363793,1514.864298328493,18.35772703529983,25.081199229466364,0.7319317895187588,0.7319317895187588,18,8
team1_avg_point_diff_pre,0.8292451882020543,0.05214683286084876,0.7770983553412055,1.067852210985448,0.7277208843572787,0.7277208843572787,18,8
corner_strength_diff_pre,0.09811147001419311,-0.04686776649948917,0.14497923651368227,0.199829738745337,0.7255138170322276,0.7255138170322276,18,8
team1_recent_elo_trend_pre,0.2350321472759889,-0.7598625598557334,0.9948947071317222,1.3794356532249081,0.7212331396580998,0.7212331396580998,18,8
team1_ts_conservative_pre,24.325074252755545,22.594774781959856,1.7302994707956891,2.4329409136809,0.711196667812966,0.711196667812966,18,8
p1_corner_win_rate_pre,0.581869221992949,0.41991756812981074,0.16195165386313826,0.24387211404110046,0.6640843480605745,0.6640843480605745,18,8
ts_mu_diff_pre,2.588494418341979,0.08233107862968803,2.506163339712291,3.8222474844246714,0.6556779355404616,0.6556779355404616,18,8
elo_confidence_gap_side_pre,25.527412330824898,-4.812020628583184,30.339432959408082,46.30717723136576,0.6551777666736709,0.6551777666736709,18,8
elo_diff_pre,30.528507840159087,0.13718111480827133,30.391326725350815,46.528513431661736,0.6531763962325544,0.6531763962325544,18,8
team1_peak_elo_pre,1547.6328290171514,1536.5647061353293,11.068122881822092,16.985067915987653,0.6516384236181901,0.6516384236181901,18,8
elo_expected_prob_pre,0.5347488925273137,0.5002383574329667,0.034510535094346984,0.05302464318487715,0.6508395534887735,0.6508395534887735,18,8
ts_cons_diff_pre,2.745851349343066,-0.05788373112546008,2.803735080468526,4.341585303087258,0.645786017028116,0.645786017028116,18,8
team1_ts_balance_pre,6.238000512337546,8.117151944741487,-1.8791514324039404,3.352553422802473,-0.5605134938709244,0.5605134938709244,18,8
team1_ts_momentum_pre,-0.0029439369005683285,-0.07159921417832837,0.06865527727776005,0.126044683110547,0.5446899907515036,0.5446899907515036,18,8
team2_opponent_win_rate_pre,0.4035001978765649,0.459157110243809,-0.05565691236724413,0.10510020882149798,-0.5295604356197973,0.5295604356197973,18,8
team1_balance_pre,76.00546905403445,95.98648262556824,-19.981013571533794,38.190334086293056,-0.5231955689726528,0.5231955689726528,18,8
team1_elo_std_pre,38.002734527017225,47.99324131278412,-9.990506785766897,19.095167043146528,-0.5231955689726528,0.5231955689726528,18,8
p3_corner_win_rate_pre,0.4749481647181726,0.4166374810997308,0.05831068361844177,0.11407134459202857,0.5111773147497078,0.5111773147497078,18,8
rating_disagreement_pre,0.4680031742721714,0.3337132269959455,0.1342899472762259,0.2694157013853089,0.4984488527792562,0.4984488527792562,18,8
ts_confidence_gap_favorite_pre,0.37163967668342734,-0.7743956563524041,1.1460353330358315,2.313330137445525,0.4954050070437985,0.4954050070437985,18,8
team2_peak_elo_pre,1526.3898419155967,1534.7457189568286,-8.355877041231906,18.153179022351694,-0.46029827783571464,0.46029827783571464,18,8
team2_pair_games_pre,11.222222222222221,13.375,-2.1527777777777786,4.8304078747747985,-0.44567204956333933,0.44567204956333933,18,8
ts_sigma_diff_pre,-0.05245231033369559,0.04673826991838298,-0.09919058025207857,0.22971038828669896,-0.43180711587270454,0.43180711587270454,18,8
team2_corner_strength_pre,0.4633671438971535,0.5084341276137819,-0.04506698371662843,0.10783205514151933,-0.4179367967853556,0.4179367967853556,18,8
elo_confidence_gap_pre,41.31040323380358,29.68162259036859,11.628780643434986,27.92583186082001,0.4164166246288328,0.4164166246288328,18,8
elo_abs_diff_pre,46.31149874313777,34.630824333760046,11.680674409377723,28.082054240989454,0.41594800398641213,0.41594800398641213,18,8
team1_recent_win_rate_pre,0.5222222222222221,0.47500000000000003,0.04722222222222211,0.11409536133993325,0.4138838044566005,0.4138838044566005,18,8
team2_elo_pre,1502.6935175236342,1514.7271172136848,-12.03359969005055,29.861343478011236,-0.40298252819440755,0.40298252819440755,18,8
team2_pair_point_diff_pre,1.0,14.625,-13.625,35.45747098314698,-0.3842631643547278,0.3842631643547278,18,8
team2_ts_mu_pre,26.942440334141185,27.88880371152348,-0.9463633773822941,2.5516121125717226,-0.37088841705978265,0.37088841705978265,18,8
team2_ts_conservative_pre,21.579222903412482,22.652658513085314,-1.0734356096728312,3.005892529473866,-0.35711044195605995,0.35711044195605995,18,8
h2h_point_diff_pre,1.4444444444444444,-0.875,2.3194444444444446,6.5899555987047,0.3519666270437918,0.3519666270437918,18,8
team2_pair_win_rate_pre,0.41652560855992227,0.5018868579820592,-0.08536124942213696,0.24337249528556548,-0.35074320671272574,0.35074320671272574,18,8
team2_win_rate_pre,0.4791779192690771,0.5080578233710538,-0.02887990410197666,0.08270114351499658,-0.3492080384201669,0.3492080384201669,18,8
team2_min_elo_pre,1471.5774852238405,1483.0099521590894,-11.43246693524884,33.4043125287147,-0.3422452393061935,0.3422452393061935,18,8
team1_max_elo_pre,1571.2247598908104,1562.857539641277,8.367220249533375,24.85080112810687,0.33669820970358344,0.33669820970358344,18,8
h2h_win_rate_pre,0.5555555555555556,0.4375,0.11805555555555558,0.35302999520549655,0.33440658629257886,0.33440658629257886,18,8
