player,elo
FZ,1595.6177603628691
CH,1544.0810443003948
SY,1534.662444141976
NS,1495.7308190627975
RS,1470.2797077505188
TD,1462.4916964104802
TT,1450.8219981501152
AC,1446.3145298208483
