rank,player,games,wins,losses,win_pct,point_diff,avg_point_diff
1,FZ,80,56,24,0.7,231,2.8875
2,CH,101,58,43,0.5742574257425742,94,0.9306930693069307
3,SY,92,52,40,0.5652173913043478,75,0.8152173913043478
4,NS,61,30,31,0.4918032786885246,-8,-0.13114754098360656
5,TT,60,21,39,0.35,-81,-1.35
6,AC,60,21,39,0.35,-157,-2.6166666666666667
7,TD,36,12,24,0.3333333333333333,-88,-2.4444444444444446
8,RS,13,2,11,0.15384615384615385,-63,-4.846153846153846
