p1,p2,p3,p4,players,team1,team2,ordered_key,unique_key,played_ordered,played_unique,elo_pred_team1_win_prob,trueskill_pred_team1_win_prob,tree_pred_team1_win_prob,sort_prob,closeness
FZ,AC,TD,NS,"['FZ', 'AC', 'TD', 'NS']",FZ + AC,TD + NS,FZ|AC|TD|NS,"AC,FZ||NS,TD",False,False,0.5480385838797078,0.824907071496523,0.9885451284139293,0.9885451284139293,0.4885451284139293
CH,TT,RS,TD,"['CH', 'TT', 'RS', 'TD']",CH + TT,RS + TD,CH|TT|RS|TD,"CH,TT||RS,TD",False,False,0.535704968603825,0.9670238609148029,0.9886218462198485,0.9886218462198485,0.4886218462198485
TT,CH,RS,TD,"['TT', 'CH', 'RS', 'TD']",TT + CH,RS + TD,TT|CH|RS|TD,"CH,TT||RS,TD",False,False,0.535704968603825,0.9670238609148029,0.9886218462198485,0.9886218462198485,0.4886218462198485
CH,TT,TD,RS,"['CH', 'TT', 'TD', 'RS']",CH + TT,TD + RS,CH|TT|TD|RS,"CH,TT||RS,TD",False,False,0.535704968603825,0.9670238609148029,0.9886327603396708,0.9886327603396708,0.48863276033967085
TT,CH,TD,RS,"['TT', 'CH', 'TD', 'RS']",TT + CH,TD + RS,TT|CH|TD|RS,"CH,TT||RS,TD",False,False,0.535704968603825,0.9670238609148029,0.9886327603396708,0.9886327603396708,0.48863276033967085
SY,TD,CH,NS,"['SY', 'TD', 'CH', 'NS']",SY + TD,CH + NS,SY|TD|CH|NS,"CH,NS||SY,TD",False,True,0.4754639641596883,0.3157351661047363,0.9886371319616364,0.9886371319616364,0.4886371319616364
TD,SY,CH,NS,"['TD', 'SY', 'CH', 'NS']",TD + SY,CH + NS,TD|SY|CH|NS,"CH,NS||SY,TD",False,True,0.4754639641596883,0.3157351661047363,0.9886371319616364,0.9886371319616364,0.4886371319616364
NS,TD,FZ,RS,"['NS', 'TD', 'FZ', 'RS']",NS + TD,FZ + RS,NS|TD|FZ|RS,"FZ,RS||NS,TD",False,False,0.43833287967478424,0.6492831572024322,0.011235911914548388,0.011235911914548388,0.48876408808545163
FZ,NS,SY,AC,"['FZ', 'NS', 'SY', 'AC']",FZ + NS,SY + AC,FZ|NS|SY|AC,"AC,SY||FZ,NS",False,True,0.5631952356044089,0.7601813762150078,0.9888014980206361,0.9888014980206361,0.4888014980206361
TD,AC,FZ,RS,"['TD', 'AC', 'FZ', 'RS']",TD + AC,FZ + RS,TD|AC|FZ|RS,"AC,TD||FZ,RS",False,False,0.4105442459573689,0.5388768223975273,0.011149627380614889,0.011149627380614889,0.48885037261938513
CH,FZ,NS,TD,"['CH', 'FZ', 'NS', 'TD']",CH + FZ,NS + TD,CH|FZ|NS|TD,"CH,FZ||NS,TD",False,False,0.6029721542273491,0.9417316657106969,0.9889168713832203,0.9889168713832203,0.48891687138322026
CH,FZ,TD,NS,"['CH', 'FZ', 'TD', 'NS']",CH + FZ,TD + NS,CH|FZ|TD|NS,"CH,FZ||NS,TD",False,False,0.6029721542273491,0.9417316657106969,0.9889168713832203,0.9889168713832203,0.48891687138322026
FZ,CH,NS,TD,"['FZ', 'CH', 'NS', 'TD']",FZ + CH,NS + TD,FZ|CH|NS|TD,"CH,FZ||NS,TD",False,False,0.6029721542273491,0.9417316657106969,0.9889168713832203,0.9889168713832203,0.48891687138322026
FZ,CH,TD,NS,"['FZ', 'CH', 'TD', 'NS']",FZ + CH,TD + NS,FZ|CH|TD|NS,"CH,FZ||NS,TD",False,False,0.6029721542273491,0.9417316657106969,0.9889168713832203,0.9889168713832203,0.48891687138322026
CH,AC,TT,NS,"['CH', 'AC', 'TT', 'NS']",CH + AC,TT + NS,CH|AC|TT|NS,"AC,CH||NS,TT",False,True,0.5252165076335089,0.6883938816526839,0.9889379650990102,0.9889379650990102,0.4889379650990102
CH,AC,NS,TT,"['CH', 'AC', 'NS', 'TT']",CH + AC,NS + TT,CH|AC|NS|TT,"AC,CH||NS,TT",False,True,0.5252165076335089,0.6883938816526839,0.9889485793818471,0.9889485793818471,0.4889485793818471
AC,SY,TT,NS,"['AC', 'SY', 'TT', 'NS']",AC + SY,TT + NS,AC|SY|TT|NS,"AC,SY||NS,TT",False,False,0.5198057688743792,0.7010171707185717,0.9890330944583704,0.9890330944583704,0.4890330944583704
AC,SY,NS,TT,"['AC', 'SY', 'NS', 'TT']",AC + SY,NS + TT,AC|SY|NS|TT,"AC,SY||NS,TT",False,False,0.5198057688743792,0.7010171707185717,0.9890436184736209,0.9890436184736209,0.4890436184736209
AC,CH,SY,TD,"['AC', 'CH', 'SY', 'TD']",AC + CH,SY + TD,AC|CH|SY|TD,"AC,CH||SY,TD",False,False,0.49610953493753335,0.5658042178334401,0.9891749579577042,0.9891749579577042,0.48917495795770416
AC,CH,TD,SY,"['AC', 'CH', 'TD', 'SY']",AC + CH,TD + SY,AC|CH|TD|SY,"AC,CH||SY,TD",False,False,0.49610953493753335,0.5658042178334401,0.9891749579577042,0.9891749579577042,0.48917495795770416
NS,SY,TD,CH,"['NS', 'SY', 'TD', 'CH']",NS + SY,TD + CH,NS|SY|TD|CH,"CH,TD||NS,SY",False,True,0.5137087583999669,0.7095609680968836,0.9892193040126495,0.9892193040126495,0.48921930401264946
NS,CH,RS,TT,"['NS', 'CH', 'RS', 'TT']",NS + CH,RS + TT,NS|CH|RS|TT,"CH,NS||RS,TT",False,False,0.5679127442670352,0.9886558232898304,0.9894839502215792,0.9894839502215792,0.4894839502215792
SY,AC,NS,TD,"['SY', 'AC', 'NS', 'TD']",SY + AC,NS + TD,SY|AC|NS|TD,"AC,SY||NS,TD",False,True,0.5130955236133099,0.709704241883534,0.9895114681006645,0.9895114681006645,0.4895114681006645
SY,AC,TD,NS,"['SY', 'AC', 'TD', 'NS']",SY + AC,TD + NS,SY|AC|TD|NS,"AC,SY||NS,TD",False,True,0.5130955236133099,0.709704241883534,0.9895114681006645,0.9895114681006645,0.4895114681006645
CH,FZ,NS,AC,"['CH', 'FZ', 'NS', 'AC']",CH + FZ,NS + AC,CH|FZ|NS|AC,"AC,NS||CH,FZ",False,True,0.6118544195001141,0.9170867492403805,0.9895324800004036,0.9895324800004036,0.4895324800004036
FZ,CH,NS,AC,"['FZ', 'CH', 'NS', 'AC']",FZ + CH,NS + AC,FZ|CH|NS|AC,"AC,NS||CH,FZ",True,True,0.6118544195001141,0.9170867492403805,0.9895324800004036,0.9895324800004036,0.4895324800004036
CH,SY,TD,RS,"['CH', 'SY', 'TD', 'RS']",CH + SY,TD + RS,CH|SY|TD|RS,"CH,SY||RS,TD",False,False,0.5832460515720251,0.9956342480468539,0.9895555922286148,0.9895555922286148,0.4895555922286148
SY,CH,TD,RS,"['SY', 'CH', 'TD', 'RS']",SY + CH,TD + RS,SY|CH|TD|RS,"CH,SY||RS,TD",False,False,0.5832460515720251,0.9956342480468539,0.9895555922286148,0.9895555922286148,0.4895555922286148
TD,TT,RS,SY,"['TD', 'TT', 'RS', 'SY']",TD + TT,RS + SY,TD|TT|RS|SY,"RS,SY||TD,TT",True,True,0.4474492106812042,0.614602811318115,0.010405426914895856,0.010405426914895856,0.4895945730851041
