model,split,train_games,test_games,accuracy,brier_score,log_loss,roc_auc,cv_accuracy_mean,cv_accuracy_std,cv_brier_mean,cv_brier_std,cv_log_loss_mean,cv_log_loss_std,cv_roc_auc_mean,cv_roc_auc_std,cv_rank_brier,cv_rank_accuracy,cv_rank_log_loss,recommended_rank
Random Forest,holdout,162,41,0.7804878048780488,0.1584787500949386,0.486845027897033,0.8452380952380952,0.6666666666666666,0.11338355717496794,0.20529462037253204,0.04884963598650344,0.5934991102380723,0.112941087308946,0.7613699148887723,0.13376169983541683,1.0,2.0,2.0,122.0
Extra Trees,holdout,162,41,0.7804878048780488,0.1542294675758352,0.4619788115582619,0.819047619047619,0.6787878787878787,0.09111088714165402,0.2056539299597163,0.053346690769664716,0.5920258725954582,0.13290967665247053,0.7419413469800467,0.13072880112048474,2.0,1.0,1.0,211.0
Hist Gradient Boosting,holdout,162,41,0.7560975609756098,0.21447768200981093,0.7208469529802508,0.7476190476190475,0.6606060606060606,0.12029959540169219,0.21041458222150333,0.04024478444502628,0.6262868919051303,0.09231150020289097,0.7341631454669731,0.13099914744458027,3.0,3.0,3.0,333.0
Gradient Boosting,holdout,162,41,0.7560975609756098,0.22467335378577372,0.836518381837376,0.7476190476190476,0.6606060606060606,0.1107616174696792,0.2583109688239872,0.10220995678297053,1.2013464237018137,1.0325826916961778,0.7596276314401843,0.1443923458272209,4.0,3.0,5.0,453.0
Logistic Regression,holdout,162,41,0.7073170731707317,0.21349864804364688,0.7219178936971575,0.8,0.6363636363636364,0.09191364174607941,0.2679449167276168,0.09693116266878524,0.9867026003539104,0.5030559558382915,0.724488776226744,0.12926316076843283,5.0,5.0,4.0,545.0
