fold,train_games,test_games,accuracy,brier_score,log_loss,roc_auc
1,27,26,0.5,0.25309909788450635,0.7089121698879819,0.6488095238095238
2,53,26,0.5384615384615384,0.2676365325450002,0.7355354928927288,0.6
3,79,26,0.6923076923076923,0.18804469303917498,0.560077179072234,0.8169934640522876
4,105,26,0.6538461538461539,0.21577774378410547,0.6095150635055102,0.6666666666666666
5,131,26,0.6153846153846154,0.1909452808635284,0.5489338493262982,0.9696969696969697
