model,cv_accuracy_mean,cv_accuracy_std,cv_brier_mean,cv_brier_std,cv_log_loss_mean,cv_log_loss_std,cv_roc_auc_mean,cv_roc_auc_std,source
Random Forest,0.6625,0.08477912478906585,0.20357770334652078,0.03172534328948293,0.5895572546172051,0.07395592754843107,0.7440651196069151,0.12205306760548791,Random Forest
Context-Aware Meta-Model,0.65,0.10716517624676404,0.22142093996432624,0.0696546770652916,0.6611995844248579,0.1888615938471632,0.7449114318773762,0.1496394021357205,Context-Aware Meta-Model
Meta-Model V3 (Random Forest),0.7,0.06731456008918131,0.1968840513911541,0.031897206839362674,0.5763506038522344,0.07210924986312883,0.7669547308556597,0.09100631719119515,Meta-Model V3
Weighted Ensemble (fixed weights),0.7,,0.19688405139115414,,0.5763506038522344,,0.7549206349206349,,Weighted Ensemble
