model,cv_accuracy_mean,cv_accuracy_std,cv_brier_mean,cv_brier_std,cv_log_loss_mean,cv_log_loss_std,cv_roc_auc_mean,cv_roc_auc_std
Gradient Boosting,0.7181818181818181,0.05300865358950273,0.21756783132371788,0.06273030761534552,0.895939971502334,0.5410986130462755,0.7799585921325052,0.10524489110630658
Random Forest,0.7045454545454545,0.0774063016633018,0.19158474395344763,0.037596139985597465,0.5660563781992581,0.08907993692389213,0.783768115942029,0.10980503371458014
Extra Trees,0.6954545454545455,0.08207031856939902,0.19133593412449196,0.04572397442820291,0.5635209738610841,0.11836606558859454,0.7963509316770186,0.11188318205403049
Hist Gradient Boosting,0.7045454545454546,0.0746894396597954,0.21676207761074967,0.04613285045425256,0.6799523993583447,0.13902528273218276,0.7491640786749482,0.10920516599457075
Logistic Regression,0.6818181818181819,0.051826155686324454,0.24190858813930416,0.07856937862147495,0.9200628964747356,0.6046204233199094,0.7810222567287785,0.09599733499796043
