model,cv_accuracy_mean,cv_accuracy_std,cv_brier_mean,cv_brier_std,cv_log_loss_mean,cv_log_loss_std,cv_roc_auc_mean,cv_roc_auc_std,variant
Probability-Only Meta-Model,0.6,0.08705242673240074,0.23454741813890348,0.041500501474848725,0.6730990457282715,0.12729401880013783,0.7190011295893648,0.1584291408456909,Probability-Only
Context-Aware Meta-Model,0.65,0.10716517624676404,0.22142093996432624,0.0696546770652916,0.6611995844248579,0.1888615938471632,0.7449114318773762,0.1496394021357205,Context-Aware
Meta-Model V3 (Random Forest),0.7,0.06731456008918131,0.1968840513911541,0.031897206839362674,0.5763506038522344,0.07210924986312883,0.7669547308556597,0.09100631719119515,Meta-Model V3
