feature,correct_mean,incorrect_mean,raw_gap,feature_std,standardized_gap,abs_standardized_gap,n_correct,n_incorrect
team1_recent_elo_trend_pre,0.4125023157119661,-1.1636689629424002,1.5761712786543662,1.2616593079707694,1.2492843897687818,1.2492843897687818,18,9
team1_ts_momentum_pre,0.037176156446681534,-0.10176653878076596,0.13894269522744748,0.11926781401043955,1.1649638788155017,1.1649638788155017,18,9
team1_ts_conservative_pre,24.543428865407368,21.988152612573366,2.555276252834002,2.513528677696302,1.016609150119569,1.016609150119569,18,9
team2_elo_volatility_pre,2.2740808029978674,2.8506762189386894,-0.576595415940822,0.5843778762711183,-0.9866824863734478,0.9866824863734478,18,9
team1_ts_mu_pre,29.41961775887326,27.293689676143877,2.1259280827293843,2.2301734925404118,0.9532568160460554,0.9532568160460554,18,9
team1_corner_strength_pre,0.5669727849551415,0.4438918631281222,0.1230809218270193,0.13032175333451257,0.9444388114629846,0.9444388114629846,18,9
team1_peak_elo_pre,1550.224743871017,1532.7228475897118,17.501896281305108,19.073999292706496,0.9175787422828243,0.9175787422828243,18,9
team1_pair_win_rate_pre,0.6533734012900679,0.4442748609415276,0.2090985403485403,0.22816500420185867,0.916435634290129,0.916435634290129,18,9
team1_elo_pre,1532.4552207948582,1505.9294939445087,26.52572685034943,29.310548596534428,0.9049890950688563,0.9049890950688563,18,9
team1_win_rate_pre,0.5530050540977043,0.4864926759509932,0.06651237814671107,0.07418133475915971,0.8966187837230619,0.8966187837230619,18,9
team1_ts_sigma_pre,1.6253962978219656,1.7685123545235035,-0.14311605670153793,0.16115852453902235,-0.8880452157954841,0.8880452157954841,18,9
h2h_point_diff_pre,3.111111111111111,-2.3333333333333335,5.444444444444445,6.759436831761865,0.8054582918596986,0.8054582918596986,18,9
team1_pair_point_diff_pre,28.166666666666668,-2.0,30.166666666666668,37.56311560987703,0.8030927727074507,0.8030927727074507,18,9
team1_max_elo_pre,1578.464394544515,1549.773599852655,28.690794691859992,35.93464830962615,0.7984159033545994,0.7984159033545994,18,9
team1_avg_point_diff_pre,0.6654880424786546,-0.22073647483151812,0.8862245173101727,1.1138876279893086,0.7956139336154643,0.7956139336154643,18,9
ts_cons_diff_pre,2.7671774616698284,-0.7457942298253933,3.512971691495222,4.431708758498811,0.7926901073447795,0.7926901073447795,18,9
team1_games_played_pre,75.5,66.0,9.5,12.194412806843292,0.7790453013587308,0.7790453013587308,18,9
ts_mu_diff_pre,2.5318582501039444,-0.576776901340211,3.1086351514441555,4.020845388596387,0.7731297403925622,0.7731297403925622,18,9
corner_strength_diff_pre,0.0832583022466622,-0.07023955616289129,0.1534978584095535,0.20000172447694553,0.7674826745168759,0.7674826745168759,18,9
elo_confidence_gap_side_pre,26.594327382100474,-13.742685443179804,40.337012825280276,54.555699321695045,0.7393730320901513,0.7393730320901513,18,9
h2h_win_rate_pre,0.6666666666666666,0.3888888888888889,0.27777777777777773,0.37770514915502107,0.73543550676819,0.73543550676819,18,9
elo_diff_pre,31.352671142786285,-8.629323406631379,39.981994549417664,54.54240743835416,0.7330441839151818,0.7330441839151818,18,9
team1_peak_gap_pre,17.769523076158535,26.793353645203297,-9.023830569044762,12.370632086653107,-0.729455900542118,0.729455900542118,18,9
elo_expected_prob_pre,0.5356097355492295,0.49058427063224486,0.04502546491698467,0.06179367418488385,0.728641976883759,0.728641976883759,18,9
p1_corner_win_rate_pre,0.5646438620344649,0.39362096195938046,0.17102290007508447,0.23685772033829253,0.7220490842807262,0.7220490842807262,18,9
team1_recent_win_rate_pre,0.5166666666666667,0.4444444444444444,0.0722222222222223,0.10156525333927474,0.7110918335522366,0.7110918335522366,18,9
team1_opponent_win_rate_pre,0.552746746091448,0.47165146204647335,0.08109528404497468,0.11607822509399272,0.6986261547272015,0.6986261547272015,18,9
