ablation,removed_group,n_features,train_games,test_games,accuracy,brier_score,log_loss,roc_auc,accuracy_delta,brier_improvement,log_loss_improvement,roc_auc_delta
Baseline (all features),None,71,162,41,0.7804878048780488,0.1584787500949386,0.48684502789703304,0.8452380952380952,0.0,0.0,0.0,0.0
No Elo group,No Elo group,58,162,41,0.7804878048780488,0.15354428675384718,0.46993777617169186,0.8523809523809525,0.0,0.004934463341091405,0.016907251725341188,0.0071428571428572285
No recent form,No recent form,65,162,41,0.7804878048780488,0.15711154183321904,0.4842541937153031,0.8428571428571427,0.0,0.0013672082617195436,0.0025908341817299507,-0.0023809523809524835
No experience,No experience,65,162,41,0.7804878048780488,0.16092506292788306,0.4895296605585961,0.8452380952380952,0.0,-0.0024463128329444694,-0.0026846326615630467,0.0
No corner features,No corner features,64,162,41,0.7804878048780488,0.15460327666370594,0.4760613581197419,0.85,0.0,0.003875473431232651,0.010783669777291172,0.004761904761904745
No chemistry,No chemistry,62,162,41,0.7560975609756098,0.15867062019283426,0.48673736075797996,0.8571428571428571,-0.024390243902439046,-0.00019187009789567444,0.00010766713905308034,0.011904761904761862
