model,fold,train_games,test_games,accuracy,brier_score,log_loss,roc_auc
Probability-Only Meta-Model,1,27,25,0.56,0.25416044042248587,0.7040449363682083,0.6987179487179487
Probability-Only Meta-Model,2,52,25,0.36,0.28970060991370483,0.7814174792622961,0.3933333333333333
Probability-Only Meta-Model,3,77,25,0.72,0.21622796197294467,0.6289334144700534,0.6029411764705882
Probability-Only Meta-Model,4,102,25,0.64,0.25289592620232054,0.7075846578877362,0.5999999999999999
Probability-Only Meta-Model,5,127,25,0.64,0.18239029194209216,0.5338607179879338,0.9615384615384616
