game_id,day,date,p1,p2,p3,p4,score1,score2,point_diff,team1_actual_win,team1_elo_pre,team2_elo_pre,elo_diff_pre,elo_abs_diff_pre,elo_expected_prob_pre,team1_max_elo_pre,team2_max_elo_pre,team1_min_elo_pre,team2_min_elo_pre,team1_balance_pre,team2_balance_pre,team1_elo_std_pre,team2_elo_std_pre,team1_peak_elo_pre,team2_peak_elo_pre,team1_peak_gap_pre,team2_peak_gap_pre,team1_ts_mu_pre,team2_ts_mu_pre,team1_ts_sigma_pre,team2_ts_sigma_pre,team1_ts_conservative_pre,team2_ts_conservative_pre,ts_mu_diff_pre,ts_sigma_diff_pre,ts_cons_diff_pre,team1_specialization_pre,team2_specialization_pre,specialization_gap_pre,rating_disagreement_pre,team1_elo_volatility_pre,team2_elo_volatility_pre,elo_confidence_gap_pre,elo_confidence_gap_side_pre,ts_confidence_gap_favorite_pre,team1_ts_balance_pre,team2_ts_balance_pre,team1_ts_momentum_pre,team2_ts_momentum_pre,team1_opponent_experience_pre,team2_opponent_experience_pre,team1_opponent_win_rate_pre,team2_opponent_win_rate_pre,team1_games_played_pre,team2_games_played_pre,team1_win_rate_pre,team2_win_rate_pre,team1_recent_win_rate_pre,team2_recent_win_rate_pre,team1_avg_point_diff_pre,team2_avg_point_diff_pre,team1_recent_point_diff_pre,team2_recent_point_diff_pre,team1_recent_elo_trend_pre,team2_recent_elo_trend_pre,team1_pair_games_pre,team2_pair_games_pre,team1_pair_win_rate_pre,team2_pair_win_rate_pre,team1_pair_point_diff_pre,team2_pair_point_diff_pre,h2h_games_pre,h2h_win_rate_pre,h2h_point_diff_pre,p1_corner_win_rate_pre,p2_corner_win_rate_pre,p3_corner_win_rate_pre,p4_corner_win_rate_pre,team1_corner_strength_pre,team2_corner_strength_pre,corner_strength_diff_pre
1,1,,TT,NS,SY,CH,21,13,8,1,1500.0,1500.0,0.0,0.0,0.5,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,25.0,25.0,8.333333333333334,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0
2,1,,TT,SY,FZ,NS,14,21,-7,0,1500.0,1501.7261904761904,-1.726190476190368,1.726190476190368,0.4980126602364095,1503.452380952381,1503.452380952381,1496.547619047619,1500.0,6.904761904761926,3.452380952380963,3.452380952380963,1.7261904761904816,1501.7261904761904,1501.7261904761904,1.726190476190368,0.0,24.999999999999996,26.4868592759628,7.785138858695782,8.059236096014558,1.6445834239126498,2.309150987919125,-1.4868592759628037,-0.27409723731877644,-0.6645675640064752,0.0,0.0,0.0,3.68594044175552e-14,0.0,0.0,1.726190476190368,-1.726190476190368,-14.35751567874754,5.947437103851215,2.9737185519256037,0.0,0.0,0.5,0.5,0.25,0.75,1.0,0.5,0.5,0.75,0.5,0.75,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.5,0.75,0.5,0.25
3,1,,NS,CH,FZ,TT,27,25,2,1,1501.660042200788,1501.7261904761904,-0.06614827540238366,0.06614827540238366,0.49992384398415457,1506.772465353957,1503.320084401576,1496.547619047619,1500.132296550805,10.224846306337895,3.187787850770974,5.1124231531689475,1.593893925385487,1503.3862326769786,1503.3862326769786,1.7261904761905953,1.6600422007882116,26.17659918888105,26.658375255633302,7.558470433090072,7.55323946512457,3.501187889610833,3.9986568602595938,-0.4817760667522535,0.0052309679655024865,-0.49746897064876094,0.0,0.25,-0.25,0.1120802352630002,0.8300211003939921,0.8300211003939921,-1.5938939253856006,-1.726190476190368,-14.629933831462388,8.30063548161332,2.0757101629396075,0.5882995944405263,-0.5882995944405263,1.0,1.0,0.5,0.5,1.5,1.5,0.5,0.75,0.5,0.75,-0.25,3.75,-0.25,3.75,0.8300211003939921,-0.8300211003939921,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.75,-0.25
4,1,,CH,TD,FZ,SY,11,21,-10,0,1499.6430656652815,1496.9045533823376,2.7385122829439297,2.7385122829439297,0.5031527869936334,1500.0,1500.581572118632,1499.286131330563,1493.227534646043,0.7138686694370335,7.354037472588971,0.35693433471851677,3.6770187362944853,1500.0,1501.660042200788,0.35693433471851677,4.755488818450431,24.97685021349481,22.22487808632808,7.793622471641373,7.28872235242666,1.5959827985706916,0.3587110290480986,2.751972127166731,0.5049001192147129,1.237271769522593,0.25,0.25,0.0,0.13220736530823507,0.6846280707359824,1.5146491711299745,0.5392350410779727,0.5392350410779727,-12.330372696901303,0.0462995730103799,5.1035900320315974,0.7318547447288068,-1.3181889031303342,0.5,0.5,0.75,0.25,1.0,2.0,0.5,0.25,0.5,0.25,-1.5,-2.5,-1.5,-2.5,0.6846280707359256,-1.5146491711300314,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0
5,1,,CH,SY,TD,NS,21,19,2,1,1496.256832988303,1502.8986154378786,-6.641782449575658,6.641782449575658,0.49235396145662985,1496.9412814071866,1509.5109776369009,1495.5723845694195,1496.2862532388565,1.3688968377671245,13.224724398044373,0.6844484188835622,6.6123621990221855,1500.0,1504.7554888184504,3.7431670116970963,1.8568733805718693,22.346684545611826,26.926424770443788,6.8218547042485405,7.256406130207858,1.8811204328662043,5.157206379820213,-4.579740224831962,-0.4345514259593175,-3.2760859469540087,0.4714045207910317,0.0,0.4714045207910317,0.2022307199781832,1.6188622502890773,1.238603646395344,3.7843165528911413,-9.499248346260174,-9.498520609624435,0.9547655656809368,11.993884246203791,0.11789863149943436,1.2576830509130108,2.0,2.0,0.16666666666666666,0.5,3.0,2.0,0.3333333333333333,0.5,0.3333333333333333,0.5,-3.5,-2.1666666666666665,-3.5,-2.1666666666666665,-0.09692868643867314,1.466184827910638,1.0,0.0,0.0,0.5,-8.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.75,-0.75
6,2,,CH,SY,TT,TD,21,7,14,1,1499.0367993898499,1495.4500355525852,3.586763837264698,3.586763837264698,0.5041293205877302,1499.7212478087336,1497.393784267861,1498.3523509709664,1493.5062868373095,1.3688968377671245,3.887497430551548,0.6844484188835622,1.943748715275774,1500.0,1501.7261904761904,0.9632006101501247,6.276154923605191,25.714503421716785,19.87433940249987,6.368456600870604,6.937165676133922,6.609133619104973,-0.9371576259018966,5.840164019216914,-0.5687090752633184,7.54629124500687,0.408248290463863,0.23570226039551584,0.17254603006834718,0.6000477944786042,1.8819610965607434,1.933595246782087,-0.22879250607797985,-0.22879250607797985,-7.465458257787613,1.0163999147559686,6.2994616156113175,2.6142881307032937,-2.3089015640749277,3.0,3.0,0.6666666666666666,0.3333333333333333,4.0,2.5,0.5,0.16666666666666666,0.5,0.16666666666666666,-2.125,-3.1666666666666665,-2.125,-3.1666666666666665,2.0122782863312523,-2.161176428297267,2.0,0.0,0.5,0.5,-6.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0
7,2,,RS,TD,SY,TT,13,21,-8,0,1494.6870155877702,1498.5575160382973,-3.870500450527061,3.870500450527061,0.4955440396533017,1500.0,1503.8535034705026,1489.3740311755405,1493.261528606092,10.625968824459505,10.591974864410531,5.312984412229753,5.295987432205266,1500.0,1503.6529422114418,5.312984412229753,5.09542617314446,20.25320221096488,24.54101515833124,7.501765719569056,6.37102112502849,-2.252094947742286,5.427951783245774,-4.287812947366362,1.130744594540566,-7.68004673098806,0.0,0.4243762057668842,-0.4243762057668842,0.3216996420861684,1.4199233537662106,3.646040345307244,-1.1954632485465027,-8.936464149600624,-9.584973897231187,9.49359557807024,5.40493013447961,-1.106880399696096,0.43494623474500216,1.5,1.5,0.25,0.75,1.5,4.5,0.25,0.425,0.25,0.425,-4.333333333333333,-0.7749999999999999,-4.333333333333333,-0.7749999999999999,-1.8407462875140936,0.24839860314659745,0.0,1.0,0.5,0.0,0.0,-7.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.25
8,2,,TT,RS,TD,CH,10,21,-11,0,1496.630764303046,1494.218512100573,2.412252202472928,2.412252202472928,0.5027771794209526,1496.683142213222,1502.4846066327354,1496.57838639287,1485.9524175684105,0.10475582035201114,16.53218906432494,0.05237791017600557,8.26609453216247,1501.7261904761904,1501.2423033163677,5.09542617314446,7.023791215794745,23.022952102510324,20.181441335361246,7.034908281727425,6.244896216107126,1.9182272573280486,1.4467526870398686,2.841510767149078,0.7900120656202994,0.47147457028817996,0.2072890493972125,0.20786985482077452,-0.0005808054235620363,0.23942460301876284,1.7125921138724014,3.1708529446931566,-2.4711928560927845,-2.4711928560927845,-10.438293730685473,0.2749487244892599,12.059682468136373,-0.5815153168466249,-0.2592576024564792,2.0,2.0,0.5,0.3333333333333333,3.0,4.5,0.2,0.3,0.2,0.3,-4.7,-4.25,-4.7,-4.25,-0.7507421524250049,-0.6456707570720255,0.0,1.0,0.5,0.0,0.0,-10.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5
9,2,,TD,SY,CH,TT,16,21,-5,0,1498.529108958911,1499.5838744229786,-1.0547654640677138,1.0547654640677138,0.49878565877052145,1507.2751170776326,1506.3152899045142,1489.7831008401893,1492.8524589414433,17.492016237443295,13.462830963070928,8.746008118721647,6.731415481535464,1503.6375585388164,1504.8838354284476,5.108449579905482,5.299961005468958,22.621279793404288,24.60360934608596,5.962381015996881,5.857260959464989,4.734136745413647,7.0318264676909905,-1.9823295526816729,0.10512005653189149,-2.297689722277344,0.2121881028834421,0.30393492741038725,-0.09174682452694516,0.2509504384625548,4.2650299344752804,3.2026998178779094,-6.412964288285366,-8.522495216420793,-9.837312422780194,11.550474640255345,8.156189499456413,1.7694808578545,0.4944719604843044,3.5,3.5,0.4583333333333333,0.5833333333333333,5.5,6.0,0.43333333333333335,0.5,0.5,0.5,-0.7166666666666666,-0.5833333333333334,0.40000000000000036,-0.7000000000000002,2.9370315518704047,1.3504770242165023,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.6666666666666666,0.5,0.5,0.5833333333333333,0.5,0.08333333333333326
10,2,,TD,TT,RS,SY,20,22,-2,0,1491.3177798908164,1498.4675497269768,-7.149769836160431,7.149769836160431,0.4917692668536989,1495.9401796862132,1504.1873963328626,1486.6953800954193,1492.7477031210913,9.244799590793946,11.439693211771328,4.622399795396973,5.719846605885664,1501.7261904761904,1503.6375585388164,10.408410585373986,5.17000881183958,18.670652318411047,22.880607854489874,5.670915612564298,6.347986692605266,1.6579054807181528,3.836647776674077,-4.2099555360788266,-0.6770710800409683,-2.1787422959559244,0.32438186696393767,0.18042195912175804,0.14395990784217963,0.1316402847009135,2.2521140777981916,2.774913983207231,2.1227417751549638,-12.176797897165898,-7.808946769090738,6.793536271343681,7.961622340615531,-0.24119984064149147,-0.7205294587668458,4.5,4.5,0.475,0.35714285714285715,6.5,4.5,0.2976190476190476,0.2857142857142857,0.30000000000000004,0.4,-3.261904761904762,-3.75,-3.2,-1.85,-0.8264511323537818,-0.061827261205166906,1.0,0.0,0.0,0.5,-14.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.25,0.75,-0.5
