model,fold,train_games,test_games,accuracy,brier_score,log_loss,roc_auc
Meta-Model V3 (Random Forest),1,33,32,0.59375,0.25229469883879707,0.69855650995271,0.631578947368421
Meta-Model V3 (Random Forest),2,65,32,0.65625,0.20123324021340705,0.5894827810775968,0.736842105263158
Meta-Model V3 (Random Forest),3,97,32,0.75,0.18680743481544954,0.5546936898130328,0.7575757575757576
Meta-Model V3 (Random Forest),4,129,32,0.78125,0.15384691509409787,0.47500577242442765,0.9126984126984127
Meta-Model V3 (Random Forest),5,161,32,0.71875,0.19023796799401915,0.5640142659934042,0.7960784313725491
