matchup_id,team1,team2,team1_elo,team2_elo,elo_diff,avg_elo,pred_team1_win_prob
1,CH + RS,TT + NS,1498.4135001315867,1491.9286042811964,6.4848958503903305,1495.1710522063916,0.5372608546694356
2,TT + CH,NS + RS,1516.460271113781,1473.8818332990022,42.57843781477868,1495.1710522063916,0.7271885225766588
3,NS + CH,TT + RS,1525.943296556105,1464.398807856678,61.54448869942689,1495.1710522063916,0.804885618852082
4,CH + TD,TT + NS,1504.399025239934,1491.9286042811964,12.470420958737577,1498.1638147605652,0.5712963169208272
5,TT + CH,NS + TD,1516.460271113781,1479.8673584073495,36.592912706431434,1498.1638147605652,0.699008936745211
6,NS + CH,TT + TD,1525.943296556105,1470.3843329650254,55.558963591079646,1498.1638147605652,0.7823293054692207
7,CH + FZ,TT + NS,1567.8000565920738,1491.9286042811964,75.87145231087743,1529.864330436635,0.8515746151042654
8,NS + FZ,TT + CH,1543.2683897594893,1516.460271113781,26.80811864570842,1529.864330436635,0.6495996162016707
9,TT + FZ,NS + CH,1533.7853643171652,1525.943296556105,7.842067761060207,1529.864330436635,0.5450203109464572
10,CH + AC,TT + NS,1500.5505276962174,1491.9286042811964,8.621923415021001,1496.239565988707,0.5494694092210037
11,TT + CH,NS + AC,1516.460271113781,1476.0188608636329,40.44141025014801,1496.239565988707,0.7173182469431723
12,NS + CH,TT + AC,1525.943296556105,1466.5358354213088,59.40746113479622,1496.239565988707,0.7970418431325467
13,CH + SY,TT + NS,1537.8582128363705,1491.9286042811964,45.92960855517413,1514.8934085587834,0.7422255738972218
14,TT + CH,NS + SY,1516.460271113781,1513.326546003786,3.1337251099948844,1514.8934085587834,0.5180313490053003
15,NS + CH,TT + SY,1525.943296556105,1503.843520561462,22.099775994643096,1514.8934085587834,0.6245406354151756
16,TT + NS,RS + TD,1491.9286042811964,1452.3375619828312,39.59104229836521,1472.1330831320138,0.7133310265611752
17,NS + TD,TT + RS,1479.8673584073495,1464.398807856678,15.468550550671353,1472.1330831320138,0.5881145679114291
18,NS + RS,TT + TD,1473.8818332990022,1470.3843329650254,3.497500333976859,1472.1330831320138,0.5201223561234872
19,RS + FZ,TT + NS,1515.738593334971,1491.9286042811964,23.809989053774643,1503.8335988080837,0.6337283818514613
20,NS + FZ,TT + RS,1543.2683897594893,1464.398807856678,78.8695819028112,1503.8335988080837,0.860090187676015
