,AC,CH,FZ,NS,RS,SY,TD,TT
AC,,0.34782608695652173,0.6571428571428571,0.23809523809523808,0.2,0.35,0.0,0.23529411764705882
CH,0.34782608695652173,,0.8809523809523809,0.5777777777777777,0.3333333333333333,0.64,0.23529411764705882,0.5
FZ,0.6571428571428571,0.8809523809523809,,0.8787878787878788,0.4375,0.9473684210526315,0.47058823529411764,0.6923076923076923
NS,0.23809523809523808,0.5777777777777777,0.8787878787878788,,0.0,0.4,0.07692307692307693,0.46153846153846156
RS,0.2,0.3333333333333333,0.4375,0.0,,0.3333333333333333,0.0,0.0
SY,0.35,0.64,0.9473684210526315,0.4,0.3333333333333333,,0.42857142857142855,0.47058823529411764
TD,0.0,0.23529411764705882,0.47058823529411764,0.07692307692307693,0.0,0.42857142857142855,,0.3
TT,0.23529411764705882,0.5,0.6923076923076923,0.46153846153846156,0.0,0.47058823529411764,0.3,
