rank,player,games,wins,losses,win_pct,point_diff,avg_point_diff
1,FZ,133,97,36,0.7293233082706767,441,3.3157894736842106
2,CH,156,91,65,0.5833333333333334,220,1.4102564102564104
3,SY,103,57,46,0.5533980582524272,77,0.7475728155339806
4,NS,105,49,56,0.4666666666666667,-45,-0.42857142857142855
5,TT,80,32,48,0.4,-90,-1.125
6,AC,100,33,67,0.33,-256,-2.56
7,TD,49,15,34,0.30612244897959184,-144,-2.938775510204082
8,RS,43,10,33,0.23255813953488372,-209,-4.8604651162790695
