player,trueskill_mu,trueskill_sigma,trueskill_conservative
FZ,33.37186084345817,1.1947273412540573,29.787678819696
CH,29.3736978018079,1.1698292828074544,25.864209953385537
SY,29.527376714765335,1.408606462836183,25.301557326256784
NS,26.810382092556758,1.2607522357085281,23.028125385431174
TT,24.929342803305108,1.4128501053477382,20.690792487261895
AC,23.263536884413195,1.277378801309285,19.43140048048534
TD,19.79303692272639,1.658613283267722,14.817197072923225
RS,19.108514943274013,1.8638602904810735,13.516934071830793
