game_id,day,date,player,elo_after_game
24,5,,AC,1497.0261491898739
25,5,,AC,1493.2628624569859
26,5,,AC,1490.2023817806426
27,5,,AC,1492.9614864250996
28,5,,AC,1495.7253064796341
29,5,,AC,1492.9908257385819
31,6,,AC,1489.551520710468
34,6,,AC,1486.425007749712
35,6,,AC,1489.1748583666592
36,7,,AC,1485.9540204368923
37,7,,AC,1482.6945209659661
39,7,,AC,1479.9682852969224
40,7,,AC,1477.3348758885493
41,7,,AC,1480.09726372216
42,8,,AC,1477.1119363072562
43,8,,AC,1480.1957617903972
45,8,,AC,1483.5362881697906
46,8,,AC,1480.5242224557994
48,9,,AC,1483.4687886367299
49,9,,AC,1480.5323109695246
51,10,,AC,1477.470077975691
52,10,,AC,1480.3274440119785
53,10,,AC,1483.734698759369
59,11,,AC,1479.9407417548694
60,11,,AC,1477.1244529677926
64,12,,AC,1473.4698377212944
65,12,,AC,1477.018760483674
66,12,,AC,1473.7908932930209
68,12,,AC,1470.5305356466383
74,13,,AC,1473.5556740750224
75,13,,AC,1469.5332994571847
76,13,,AC,1472.5850331150618
77,13,,AC,1469.671123080849
88,14,,AC,1466.3258730191942
89,14,,AC,1463.2883187700284
91,14,,AC,1466.08953083141
92,14,,AC,1462.4575527275013
96,15,,AC,1459.7696415886294
98,15,,AC,1455.8292967533316
100,15,,AC,1458.6379174839253
101,16,,AC,1461.568145596394
103,16,,AC,1459.126358490716
104,16,,AC,1456.1228457569432
106,16,,AC,1453.4188892609523
107,16,,AC,1450.3511519522926
109,17,,AC,1453.3104090172765
110,17,,AC,1455.9822097826852
111,17,,AC,1453.1211200014325
113,17,,AC,1450.2628163617408
114,18,,AC,1453.2306895818579
115,18,,AC,1449.3787916768506
116,18,,AC,1446.413418189705
117,18,,AC,1449.7189287858623
118,18,,AC,1447.0821558507346
119,18,,AC,1443.920543900621
120,19,,AC,1446.7155216692533
121,19,,AC,1443.6593945003287
123,19,,AC,1440.9449167204793
124,19,,AC,1438.4757064503183
126,19,,AC,1441.5787528279832
127,20,,AC,1438.9548619504003
128,20,,AC,1441.7145484314779
129,20,,AC,1438.442942333803
130,20,,AC,1435.7221967543003
131,21,,AC,1438.8912095650167
132,21,,AC,1435.2531087306024
133,21,,AC,1437.9050749096884
134,21,,AC,1440.540341203895
1,1,,CH,1496.547619047619
3,1,,CH,1499.2859123668682
4,1,,CH,1495.583801705728
5,1,,CH,1498.3428729703942
6,2,,CH,1502.4925131506664
8,2,,CH,1506.3125480484757
9,2,,CH,1509.4039973630486
11,2,,CH,1506.561627605231
12,2,,CH,1503.561444908559
13,3,,CH,1506.7036861020338
14,3,,CH,1503.8766104209164
15,3,,CH,1500.685347793055
16,3,,CH,1503.5708004840799
17,3,,CH,1506.3714299664596
18,3,,CH,1509.5821813954042
19,4,,CH,1506.0199563844253
21,4,,CH,1508.9886503879886
22,4,,CH,1505.609765486979
23,4,,CH,1508.8778768336663
24,5,,CH,1511.8517276437924
25,5,,CH,1508.0884409109044
26,5,,CH,1505.027960234561
27,5,,CH,1502.268855590104
28,5,,CH,1499.5050355355695
29,5,,CH,1502.2395162766218
32,6,,CH,1505.4809603639835
33,6,,CH,1509.3966473674334
35,6,,CH,1506.6467967504861
36,7,,CH,1509.867634680253
37,7,,CH,1513.1271341511792
38,7,,CH,1515.9903177731533
39,7,,CH,1513.2640821041095
40,7,,CH,1515.8974915124827
41,7,,CH,1513.135103678872
42,8,,CH,1516.1204310937758
44,8,,CH,1519.3489062328972
45,8,,CH,1516.0083798535038
46,8,,CH,1512.9963141395126
47,9,,CH,1516.2684499821623
49,9,,CH,1519.2049276493676
50,9,,CH,1521.93087557
51,10,,CH,1524.9931085638334
52,10,,CH,1527.8504746001208
53,10,,CH,1524.4432198527304
54,11,,CH,1521.6177025573184
55,11,,CH,1518.8125790485028
56,11,,CH,1522.1763449227944
58,11,,CH,1519.308443582543
59,11,,CH,1523.1024005870427
60,11,,CH,1525.9186893741194
61,11,,CH,1523.1832039380586
62,12,,CH,1519.540646743197
63,12,,CH,1522.2014739764038
64,12,,CH,1525.856089222902
66,12,,CH,1529.0839564135551
67,12,,CH,1531.8672700230636
68,12,,CH,1535.1276276694462
69,12,,CH,1532.358787551759
71,13,,CH,1535.7282437287995
72,13,,CH,1532.7422201736224
73,13,,CH,1529.8119994271285
74,13,,CH,1526.7868609987445
75,13,,CH,1522.7644863809069
76,13,,CH,1519.7127527230298
78,13,,CH,1516.5484465730854
79,13,,CH,1513.5931379173985
80,13,,CH,1516.3626432145313
81,13,,CH,1519.555928269819
82,13,,CH,1522.8824919071974
83,13,,CH,1525.922834576571
84,13,,CH,1529.713638093605
85,14,,CH,1533.1767668271482
86,14,,CH,1529.6933112013367
89,14,,CH,1532.7308654505025
90,14,,CH,1535.4797634740053
93,14,,CH,1538.7060623441876
94,14,,CH,1535.833097201729
95,15,,CH,1538.6298890275432
96,15,,CH,1535.9419778886713
97,15,,CH,1532.3801723359863
99,15,,CH,1535.3311134229984
100,15,,CH,1538.1397341535921
101,16,,CH,1535.2095060411234
102,16,,CH,1532.312094408354
103,16,,CH,1534.753881514032
105,16,,CH,1537.5187866890783
106,16,,CH,1540.2227431850692
107,16,,CH,1543.2904804937289
108,16,,CH,1540.2800096810051
114,18,,CH,1537.312136460888
115,18,,CH,1541.1640343658953
116,18,,CH,1538.1986608787497
117,18,,CH,1534.8931502825924
118,18,,CH,1537.5299232177201
119,18,,CH,1534.3683112676065
120,19,,CH,1531.573333498974
121,19,,CH,1534.6294606678987
122,19,,CH,1537.5781863746902
123,19,,CH,1540.2926641545396
125,19,,CH,1543.1309024697705
126,19,,CH,1546.2339488474354
131,21,,CH,1543.064936036719
132,21,,CH,1539.4268352023048
133,21,,CH,1536.7748690232188
134,21,,CH,1534.1396027290123
2,1,,FZ,1503.326708841291
3,1,,FZ,1500.588415522042
4,1,,FZ,1504.290526183182
19,4,,FZ,1507.8527511941609
20,4,,FZ,1504.5786098389772
22,4,,FZ,1507.9574947399867
23,4,,FZ,1511.225606086674
24,5,,FZ,1514.1994568968
25,5,,FZ,1517.962743629688
26,5,,FZ,1521.0232243060314
27,5,,FZ,1523.7823289504884
28,5,,FZ,1521.0185088959538
29,5,,FZ,1518.2840281549015
30,6,,FZ,1515.0785934127296
31,6,,FZ,1518.5178984408435
32,6,,FZ,1521.7593425282053
33,6,,FZ,1525.6750295316551
34,6,,FZ,1528.801542492411
35,6,,FZ,1531.5513931093583
36,7,,FZ,1528.3305551795913
37,7,,FZ,1531.5900546505175
38,7,,FZ,1528.7268710285434
40,7,,FZ,1531.3602804369166
43,8,,FZ,1534.4441059200576
44,8,,FZ,1537.672581059179
45,8,,FZ,1534.3320546797856
46,8,,FZ,1537.3441203937768
47,9,,FZ,1534.0719845511271
48,9,,FZ,1531.1274183701967
49,9,,FZ,1528.1909407029916
50,9,,FZ,1530.916888623624
53,10,,FZ,1534.3241433710143
