scale,mean_brier_score,std_brier_score,mean_log_loss,std_log_loss,mean_accuracy,std_accuracy
119.0,0.2287980889964746,0.011443199557799736,0.647730247305986,0.0229122204217682,0.5666666666666667,0.11055415967851333
120.0,0.22879855740827887,0.011331564053826033,0.6477720497172526,0.022680837971583736,0.5666666666666667,0.11055415967851333
118.0,0.22880007797256066,0.01155736495844553,0.6476929875411058,0.023149560404693938,0.5666666666666667,0.11055415967851333
121.0,0.22880138006856762,0.011222385732760336,0.6478181706493724,0.02245520289518196,0.5666666666666667,0.11055415967851333
117.0,0.22880463181864238,0.011674135242063446,0.6476605055348241,0.02339307715501646,0.5666666666666667,0.11055415967851333
122.0,0.22880645799423824,0.011115594091137099,0.6478683964063967,0.0222351136952929,0.5666666666666667,0.11055415967851333
116.0,0.22881186255492364,0.011793587730586835,0.6476330479764327,0.02364299941880257,0.5666666666666667,0.11055415967851333
123.0,0.2288136961806578,0.011011120774485714,0.6479225231960962,0.022020377142843328,0.5666666666666667,0.11055415967851333
115.0,0.22882188694456893,0.011915802145456813,0.6476108737582376,0.0238995659122143,0.5666666666666667,0.11055415967851333
124.0,0.2288230034319773,0.010908899517022449,0.6479803566333954,0.02181080790286938,0.5666666666666667,0.11055415967851333
125.0,0.2288342921991962,0.010808866082390909,0.6480417112713037,0.021606228178785648,0.5666666666666667,0.11055415967851333
114.0,0.22883482670851793,0.012040860672175429,0.6475942546394201,0.0241630258045117,0.5666666666666667,0.11055415967851333
126.0,0.228847478425604,0.010710958205495431,0.6481064101576651,0.021406467374028827,0.5666666666666667,0.11055415967851333
113.0,0.22885080875076208,0.0121688480254276,0.6475834759503972,0.024433639226816666,0.5666666666666667,0.11055415967851333
127.0,0.22886248139924031,0.010615115535463881,0.6481742844161551,0.02121136177014962,0.5666666666666667,0.11055415967851333
112.0,0.22886996539462579,0.012299851514645039,0.6475788373404507,0.02471167780817441,0.5666666666666667,0.11055415967851333
128.0,0.22887922361203633,0.010521279579769564,0.6482451728500661,0.021020754220484487,0.5666666666666667,0.11055415967851333
111.0,0.22889243463061928,0.012433961109868878,0.6475806535716006,0.02499742524055701,0.5666666666666667,0.11055415967851333
129.0,0.22889763062531565,0.010429393649535244,0.6483189215675136,0.020834493858587624,0.5666666666666667,0.11055415967851333
130.0,0.22891763094134915,0.01033940280603739,0.6483953836267855,0.020652435820651648,0.5666666666666667,0.11055415967851333
110.0,0.22891836037646351,0.012571269507749413,0.6475892553619292,0.02529117787456636,0.5666666666666667,0.11055415967851333
131.0,0.2289391558806738,0.010251253808422539,0.6484744187006438,0.02047444098119145,0.5666666666666667,0.11055415967851333
109.0,0.22894789274991667,0.012711872197500447,0.6476049902818145,0.025593245347718264,0.5666666666666667,0.11055415967851333
132.0,0.22896213946490054,0.010164895062644265,0.6485558927584611,0.02030037570130487,0.5666666666666667,0.11055415967851333
108.0,0.2289811883550684,0.012855867526603771,0.647628223706789,0.025903951247319888,0.5666666666666667,0.11055415967851333
133.0,0.2289865183047492,0.010080276571624448,0.6486396777651501,0.020130111588865178,0.5666666666666667,0.11055415967851333
134.0,0.2290122314930622,0.009997349886638618,0.6487256513959068,0.01996352527003497,0.5666666666666667,0.11055415967851333
107.0,0.2290184105828002,0.013003356766034252,0.6476593398310444,0.02622363381010003,0.5666666666666667,0.11055415967851333
135.0,0.22903922050256056,0.009916068059923079,0.6488136967658572,0.019800498171526605,0.5666666666666667,0.11055415967851333
106.0,0.2290597299261495,0.013154444174749777,0.6476987427459135,0.026552646660902728,0.5666666666666667,0.11055415967851333
136.0,0.2290674290881185,0.009836385598496833,0.6489037021737463,0.019640916313063903,0.5666666666666667,0.11055415967851333
137.0,0.22909680319334327,0.009758258419190816,0.6489955608588697,0.019484670109534568,0.5666666666666667,0.11055415967851333
105.0,0.22910532431135358,0.013309237063159894,0.6477468575880079,0.02689135959292838,0.5666666666666667,0.11055415967851333
138.0,0.22912729086125722,0.009681643804872542,0.649089170770495,0.019331654182344362,0.5666666666666667,0.11055415967851333
104.0,0.22915537944538994,0.013467845855255742,0.6478041317620647,0.027240159392184597,0.5666666666666667,0.11055415967851333
139.0,0.22915884214889065,0.009606500361854092,0.6491844343490667,0.019181767179516824,0.5666666666666667,0.11055415967851333
140.0,0.2291914090456013,0.009532787978468474,0.6492812583185326,0.019034911604101996,0.5666666666666667,0.11055415967851333
103.0,0.22921008918087327,0.013630384149047367,0.6478710362439661,0.027599450709009724,0.5666666666666667,0.11055415967851333
141.0,0.2292249453949477,0.009460467784798152,0.6493795534891726,0.018890993650485445,0.5666666666666667,0.11055415967851333
142.0,0.22925940681995005,0.009389502113538608,0.6494792345703432,0.01874992304820659,0.5666666666666667,0.11055415967851333
102.0,0.2292696558992143,0.01379696877491681,0.6479480669698451,0.027969656979743972,0.5666666666666667,0.11055415967851333
