scale,brier_score
10.0,0.3402202364858351
11.610738255033556,0.3310463473340548
13.221476510067113,0.3225721160666812
14.832214765100671,0.31476926361861174
16.442953020134226,0.30758757056799424
18.053691275167786,0.3009730961915381
19.664429530201343,0.2948746738296969
21.2751677852349,0.2892458969725025
22.885906040268456,0.28404538363233134
24.496644295302012,0.27923641224064866
26.10738255033557,0.2747863667161166
27.718120805369125,0.27066616696242324
29.328859060402685,0.2668497525385331
30.93959731543624,0.2633136404768985
32.5503355704698,0.26003655783285484
34.16107382550335,0.2569991411183952
35.77181208053691,0.2541836920142776
37.38255033557047,0.251573978695051
38.993288590604024,0.24915507324361555
40.60402684563758,0.24691321719545492
42.21476510067114,0.24483570883884165
43.8255033557047,0.2429108073189275
45.43624161073825,0.24112764978128867
47.04697986577181,0.23947617873766278
48.65771812080537,0.23794707756707453
50.26845637583892,0.23653171261465886
51.87919463087248,0.235222080755081
53.489932885906036,0.23401076158083386
55.100671140939596,0.23289087358578867
56.71140939597315,0.23185603386342654
58.32214765100671,0.23090032094431573
59.93288590604026,0.23001824047141264
61.54362416107382,0.22920469346404682
63.15436241610738,0.22845494695872934
64.76510067114094,0.22776460684197433
66.3758389261745,0.22712959271046407
67.98657718120805,0.2265461146093927
69.59731543624162,0.226010651512243
71.20805369127515,0.22551993141560814
72.81879194630872,0.22507091293163947
74.42953020134227,0.2246607682687136
76.04026845637584,0.22428686749825136
77.6510067114094,0.22394676401243283
79.26174496644295,0.2236381810839614
80.8724832214765,0.22335899944507606
82.48322147651007,0.22310724580873137
84.09395973154362,0.2228810822602802
85.70469798657717,0.22267879645311026
87.31543624161074,0.2224987925465117
88.9261744966443,0.2223395828285896
90.53691275167785,0.22219977997130222
92.1476510067114,0.2220780898686873
93.75838926174497,0.22197330501306914
95.36912751677852,0.22188429836750834
96.97986577181207,0.22181001769598596
98.59060402684563,0.22174948031581035
100.20134228187919,0.22170176823951346
101.81208053691275,0.2216660236760761
103.4228187919463,0.22164144486369677
105.03355704697987,0.22162728220851477
106.64429530201342,0.22162283470572539
108.25503355704697,0.22162744662138667
109.86577181208052,0.22164050441494398
111.47651006711409,0.2216614338840756
113.08724832214764,0.2216896975149239
114.6979865771812,0.22172479202211673
116.30872483221476,0.22176624606421305
117.91946308724832,0.2218136181213466
119.53020134228187,0.22186649452287738
121.14093959731542,0.22192448761382286
122.75167785234899,0.22198723404971915
124.36241610738254,0.22205439321037332
125.9731543624161,0.22212564572371116
127.58389261744966,0.2222006920916082
129.19463087248323,0.2222792514102215
130.80536912751677,0.2223610601779187
132.4161073825503,0.22244587118442907
134.0268456375839,0.2225334524753351
135.63758389261744,0.22262358638646895
137.24832214765098,0.22271606864319426
138.85906040268455,0.2228107075199349
140.46979865771812,0.22290732305566036
142.08053691275168,0.22300574632136547
143.69127516778522,0.22310581873587312
145.3020134228188,0.22320739142656842
146.91275167785233,0.22331032463192252
148.5234899328859,0.22341448714289608
150.13422818791946,0.22351975578053032
151.744966442953,0.22362601490722844
153.35570469798657,0.22373315596941476
154.96644295302013,0.2238410770694256
156.57718120805367,0.22394968256464523
158.18791946308724,0.22405888269203797
159.7986577181208,0.2241685932163672
161.40939597315435,0.2242787351005093
163.0201342281879,0.2243892341963863
164.63087248322148,0.2245000209551458
166.24161073825502,0.22461103015531306
167.8523489932886,0.2247222006477314
169.46308724832213,0.22483347511618682
171.0738255033557,0.22494479985269417
172.68456375838926,0.22505612454648907
174.2953020134228,0.22516740208583946
175.90604026845637,0.22527858837184894
177.51677852348993,0.22538964214348203
179.12751677852347,0.2255005248130948
180.73825503355704,0.22561120031180118
182.3489932885906,0.2257216349440523
183.95973154362414,0.22583179725084687
185.5704697986577,0.2259416578810313
187.18120805369125,0.226051189470182
188.79194630872482,0.22616036652659857
190.40268456375838,0.2262691653239662
192.01342281879192,0.2263775638002758
193.6241610738255,0.22648554146261532
195.23489932885906,0.22659307929747474
196.8456375838926,0.22670015968622645
198.45637583892616,0.2268067663254668
200.06711409395973,0.22691288415192595
201.67785234899327,0.2270184992716681
203.28859060402684,0.227123598893327
204.8993288590604,0.22722817126513373
206.51006711409394,0.22733220561551093
208.1208053691275,0.2274356920970233
209.73154362416105,0.22753862173348294
211.34228187919462,0.22764098637002794
212.95302013422818,0.22774277862599518
214.56375838926172,0.22784399185042736
216.1744966442953,0.2279446200800595
217.78523489932886,0.2280446579996409
219.3959731543624,0.22814410090445833
221.00671140939596,0.22824294466493228
222.61744966442953,0.22834118569316883
224.22818791946307,0.22843882091135426
225.83892617449663,0.22853584772188743
227.44966442953017,0.2286322639791514
229.06040268456374,0.22872806796283168
230.6711409395973,0.22882325835269327
232.28187919463085,0.22891783420473474
233.8926174496644,0.2290117949286424
235.50335570469798,0.22910514026647108
237.11409395973152,0.2291978702724847
238.7248322147651,0.2292899852940898
240.33557046979865,0.22938148595380434
241.9463087248322,0.22947237313220267
243.55704697986576,0.22956264795178305
245.16778523489933,0.22965231176170844
246.77852348993287,0.2297413661233713
248.38926174496643,0.22982981279673803
250.0,0.22991765372743106
