bin,count,mean_pred,actual_rate,abs_gap,weighted_gap
"(0.2, 0.3]",2,0.25270159313507523,0.5,0.24729840686492477,0.02603141124893945
"(0.3, 0.4]",1,0.32579934962559415,0.0,0.32579934962559415,0.017147334190820745
"(0.4, 0.5]",3,0.4598292561908964,0.3333333333333333,0.12649592285756306,0.019973040451194166
"(0.5, 0.6]",1,0.5359797744931757,0.0,0.5359797744931757,0.028209461815430298
"(0.6, 0.7]",7,0.6551716230229246,0.7142857142857143,0.05911409126278966,0.02177887572839619
"(0.7, 0.8]",2,0.752611508181064,0.5,0.25261150818106404,0.02659068507169095
"(0.8, 0.9]",3,0.8379057855558734,1.0,0.16209421444412664,0.025593823333283153
